,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total_rental,rasio_casual_registered
68,69,2011-03-10,springer,2011,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,0.07972270363951472
69,70,2011-03-11,springer,2011,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,0.14277456647398845
70,71,2011-03-12,springer,2011,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,0.5142045454545454
71,72,2011-03-13,springer,2011,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,0.6843205574912892
72,73,2011-03-14,springer,2011,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,0.21280379371665678
73,74,2011-03-15,springer,2011,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,0.16355404640633842
74,75,2011-03-16,springer,2011,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,0.17156600748262962
75,76,2011-03-17,springer,2011,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,0.18275862068965518
76,77,2011-03-18,springer,2011,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,0.3753715498938429
77,78,2011-03-19,springer,2011,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,0.8411104548139398
78,79,2011-03-20,springer,2011,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,0.735252808988764
79,80,2011-03-21,summer,2011,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,0.2392601431980907
80,81,2011-03-22,summer,2011,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,0.2050824788230049
81,82,2011-03-23,summer,2011,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,0.10583941605839416
82,83,2011-03-24,summer,2011,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,0.09770453207769277
83,84,2011-03-25,summer,2011,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,0.15706806282722513
84,85,2011-03-26,summer,2011,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,0.6475247524752475
85,86,2011-03-27,summer,2011,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,0.38656838656838655
86,87,2011-03-28,summer,2011,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,0.12292358803986711
87,88,2011-03-29,summer,2011,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,0.15037950664136623
88,89,2011-03-30,summer,2011,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,0.12280701754385964
89,90,2011-03-31,summer,2011,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,0.11885790172642763
90,91,2011-04-01,summer,2011,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,0.15989583333333332
91,92,2011-04-02,summer,2011,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,0.6632200886262924
92,93,2011-04-03,summer,2011,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,1.0331664580725908
93,94,2011-04-04,summer,2011,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,0.30827383452330953
94,95,2011-04-05,summer,2011,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,0.10257985257985258
95,96,2011-04-06,summer,2011,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,0.17244258872651358
96,97,2011-04-07,summer,2011,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,0.22217898832684824
97,98,2011-04-08,summer,2011,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,0.13240954580446498
98,99,2011-04-09,summer,2011,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,0.557741116751269
99,100,2011-04-10,summer,2011,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,0.6959578207381371
100,101,2011-04-11,summer,2011,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,0.34296028880866425
101,102,2011-04-12,summer,2011,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,0.144625773776027
102,103,2011-04-13,summer,2011,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,0.10701484895033282
103,104,2011-04-14,summer,2011,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,0.19320672023374727
104,105,2011-04-15,summer,2011,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,0.2584541062801932
105,106,2011-04-16,summer,2011,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,0.1795252225519288
106,107,2011-04-17,summer,2011,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,0.7127172918572735
107,108,2011-04-18,summer,2011,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,0.24239130434782608
108,109,2011-04-19,summer,2011,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,0.14633273703041144
109,110,2011-04-20,summer,2011,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,0.1840288201741219
110,111,2011-04-21,summer,2011,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,0.21631823461091754
111,112,2011-04-22,summer,2011,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,0.11752988047808766
112,113,2011-04-23,summer,2011,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,0.567987567987568
113,114,2011-04-24,summer,2011,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,0.6892382103990327
114,115,2011-04-25,summer,2011,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,0.23424242424242425
115,116,2011-04-26,summer,2011,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,0.18216012896292316
116,117,2011-04-27,summer,2011,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,0.16451127819548872
117,118,2011-04-28,summer,2011,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,0.16308397821725423
118,119,2011-04-29,summer,2011,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,0.23621199892386333
119,120,2011-04-30,summer,2011,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,0.5870929190319689
120,121,2011-05-01,summer,2011,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,0.5142340713962946
121,122,2011-05-02,summer,2011,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,0.23832301631963984
122,123,2011-05-03,summer,2011,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,0.1567047817047817
123,124,2011-05-04,summer,2011,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,0.10723296888141295
124,125,2011-05-05,summer,2011,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,0.16077507200837915
125,126,2011-05-06,summer,2011,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,0.2407108239095315
126,127,2011-05-07,summer,2011,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,0.5196647324306899
127,128,2011-05-08,summer,2011,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,0.47783083219645295
128,129,2011-05-09,summer,2011,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,0.1795565170362358
129,130,2011-05-10,summer,2011,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,0.16889754198101728
130,131,2011-05-11,summer,2011,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,0.15143171806167402
131,132,2011-05-12,summer,2011,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,0.16670664427920365
132,133,2011-05-13,summer,2011,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,0.2027541752124231
133,134,2011-05-14,summer,2011,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,0.35979258077383325
134,135,2011-05-15,summer,2011,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,0.5324806462470548
135,136,2011-05-16,summer,2011,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,0.24270015698587127
136,137,2011-05-17,summer,2011,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,0.19680696661828737
137,138,2011-05-18,summer,2011,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,0.16149442603193734
138,139,2011-05-19,summer,2011,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,0.19140625
139,140,2011-05-20,summer,2011,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,0.22679640718562874
140,141,2011-05-21,summer,2011,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,0.6365943050465181
141,142,2011-05-22,summer,2011,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,0.5110246433203631
142,143,2011-05-23,summer,2011,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,0.24316463059918558
143,144,2011-05-24,summer,2011,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,0.17192799373858597
144,145,2011-05-25,summer,2011,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,0.1746106654082114
145,146,2011-05-26,summer,2011,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,0.19341668793059455
146,147,2011-05-27,summer,2011,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,0.22872899159663865
147,148,2011-05-28,summer,2011,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,0.7257889009793254
148,149,2011-05-29,summer,2011,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,0.967940813810111
149,150,2011-05-30,summer,2011,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,0.6076892899176147
150,151,2011-05-31,summer,2011,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,0.20338470837110909
151,152,2011-06-01,summer,2011,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,0.14822305691996532
152,153,2011-06-02,summer,2011,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,0.17391304347826086
153,154,2011-06-03,summer,2011,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,0.20344358858178524
154,155,2011-06-04,summer,2011,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,0.5381514540742873
155,156,2011-06-05,summer,2011,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,0.5231294628997206
156,157,2011-06-06,summer,2011,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,0.1736774193548387
157,158,2011-06-07,summer,2011,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,0.18746928746928748
158,159,2011-06-08,summer,2011,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,0.1814765100671141
159,160,2011-06-09,summer,2011,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,0.16795942720763724
160,161,2011-06-10,summer,2011,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,0.21612304428533546
161,162,2011-06-11,summer,2011,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,0.5341365461847389
162,163,2011-06-12,summer,2011,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,0.49014366855997327
163,164,2011-06-13,summer,2011,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,0.2076016357950445
164,165,2011-06-14,summer,2011,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,0.17459173871277617
165,166,2011-06-15,summer,2011,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,0.17433688506007708
166,167,2011-06-16,summer,2011,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,0.1691495965238982
167,168,2011-06-17,summer,2011,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,0.2167797035920623
168,169,2011-06-18,summer,2011,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,0.5455917874396136
169,170,2011-06-19,summer,2011,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,0.5278582930756843
170,171,2011-06-20,summer,2011,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,0.21111446692842042
171,172,2011-06-21,fall,2011,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,0.19059344988918986
172,173,2011-06-22,fall,2011,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,0.17186687467498699
173,174,2011-06-23,fall,2011,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,0.18447082096933728
174,175,2011-06-24,fall,2011,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,0.2409249129786176
175,176,2011-06-25,fall,2011,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,0.5210526315789473
176,177,2011-06-26,fall,2011,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,0.5672082717872969
177,178,2011-06-27,fall,2011,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708,0.22158796056045668
178,179,2011-06-28,fall,2011,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,0.18692543411644535
179,180,2011-06-29,fall,2011,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225,0.19374000456933974
180,181,2011-06-30,fall,2011,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,0.22883244206773617
181,182,2011-07-01,fall,2011,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,0.30272108843537415
182,183,2011-07-02,fall,2011,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,0.7560891938250429
183,184,2011-07-03,fall,2011,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649,0.9640895648500212
184,185,2011-07-04,fall,2011,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,1.0292142377434519
185,186,2011-07-05,fall,2011,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,0.2837094111172262
186,187,2011-07-06,fall,2011,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629,0.20390117035110533
187,188,2011-07-07,fall,2011,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838,4592,0.19645648775403857
188,189,2011-07-08,fall,2011,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692,3348,4040,0.2066905615292712
189,190,2011-07-09,fall,2011,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,0.5937873357228196
190,191,2011-07-10,fall,2011,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,0.5554493307839388
191,192,2011-07-11,fall,2011,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086,0.2149866190900981
192,193,2011-07-12,fall,2011,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258,0.18409343715239154
193,194,2011-07-13,fall,2011,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3594,4342,0.20812465219810797
194,195,2011-07-14,fall,2011,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,4196,5084,0.21163012392755004
195,196,2011-07-15,fall,2011,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,0.3123222748815166
196,197,2011-07-16,fall,2011,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418,3505,5923,0.6898716119828816
197,198,2011-07-17,fall,2011,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,0.6086165048543689
198,199,2011-07-18,fall,2011,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458,0.23251313243019076
199,200,2011-07-19,fall,2011,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541,0.19846925310108207
200,201,2011-07-20,fall,2011,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644,3688,4332,0.17462039045553146
201,202,2011-07-21,fall,2011,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,3152,3784,0.20050761421319796
202,203,2011-07-22,fall,2011,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562,2825,3387,0.19893805309734514
203,204,2011-07-23,fall,2011,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,987,2298,3285,0.42950391644908614
204,205,2011-07-24,fall,2011,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050,2556,3606,0.4107981220657277
205,206,2011-07-25,fall,2011,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,0.17359413202933985
206,207,2011-07-26,fall,2011,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750,3840,4590,0.1953125
207,208,2011-07-27,fall,2011,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,755,3901,4656,0.19354011791848244
208,209,2011-07-28,fall,2011,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390,0.1601479915433404
209,210,2011-07-29,fall,2011,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670,3176,3846,0.21095717884130982
210,211,2011-07-30,fall,2011,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,0.5346364883401921
211,212,2011-07-31,fall,2011,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524,2778,4302,0.5485961123110151
212,213,2011-08-01,fall,2011,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729,3537,4266,0.20610687022900764
213,214,2011-08-02,fall,2011,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845,0.1980712166172107
214,215,2011-08-03,fall,2011,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467,3107,3574,0.15030576118442227
215,216,2011-08-04,fall,2011,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,799,3777,4576,0.21154355308445857
216,217,2011-08-05,fall,2011,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023,3843,4866,0.26619828259172523
