,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total_rental,rasio_casual_registered
29,30,2011-01-02,springer,2011,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,0.0
30,31,2011-01-02,springer,2011,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,0.0
31,32,2011-01-02,springer,2011,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,0.0
32,33,2011-01-02,springer,2011,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,0.05263157894736842
33,34,2011-01-02,springer,2011,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,0.15217391304347827
34,35,2011-01-02,springer,2011,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,0.2962962962962963
35,36,2011-01-02,springer,2011,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,0.273972602739726
36,37,2011-01-02,springer,2011,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,0.171875
37,38,2011-01-02,springer,2011,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,0.07272727272727272
38,39,2011-01-02,springer,2011,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,0.34545454545454546
39,40,2011-01-02,springer,2011,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,0.13432835820895522
40,41,2011-01-02,springer,2011,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,0.1206896551724138
41,42,2011-01-02,springer,2011,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,0.23255813953488372
42,43,2011-01-02,springer,2011,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,0.034482758620689655
43,44,2011-01-02,springer,2011,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,0.29411764705882354
44,45,2011-01-02,springer,2011,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,0.55
45,46,2011-01-02,springer,2011,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,0.0
46,47,2011-01-02,springer,2011,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,0.0
47,48,2011-01-03,springer,2011,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,0.0
48,49,2011-01-03,springer,2011,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,0.0
49,50,2011-01-03,springer,2011,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,0.0
50,51,2011-01-03,springer,2011,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,0.0
51,52,2011-01-03,springer,2011,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,0.0
52,53,2011-01-03,springer,2011,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,0.015873015873015872
53,54,2011-01-03,springer,2011,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,0.006535947712418301
54,55,2011-01-03,springer,2011,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,0.08641975308641975
55,56,2011-01-03,springer,2011,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,0.3333333333333333
56,57,2011-01-03,springer,2011,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,0.24390243902439024
57,58,2011-01-03,springer,2011,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,0.2708333333333333
58,59,2011-01-03,springer,2011,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,0.1509433962264151
59,60,2011-01-03,springer,2011,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,0.16666666666666666
60,61,2011-01-03,springer,2011,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,0.2413793103448276
61,62,2011-01-03,springer,2011,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,0.13432835820895522
62,63,2011-01-03,springer,2011,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,0.07534246575342465
63,64,2011-01-03,springer,2011,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,0.060810810810810814
64,65,2011-01-03,springer,2011,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,0.0784313725490196
65,66,2011-01-03,springer,2011,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,0.061224489795918366
66,67,2011-01-03,springer,2011,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,0.061224489795918366
67,68,2011-01-03,springer,2011,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,0.0
68,69,2011-01-03,springer,2011,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,0.09090909090909091
69,70,2011-01-04,springer,2011,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,0.0
70,71,2011-01-04,springer,2011,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,0.0
71,72,2011-01-04,springer,2011,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,0.0
72,73,2011-01-04,springer,2011,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,0.0
73,74,2011-01-04,springer,2011,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,0.0
74,75,2011-01-04,springer,2011,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,0.0
75,76,2011-01-04,springer,2011,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,0.021739130434782608
76,77,2011-01-04,springer,2011,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,0.011299435028248588
77,78,2011-01-04,springer,2011,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,0.02040816326530612
78,79,2011-01-04,springer,2011,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,0.13513513513513514
79,80,2011-01-04,springer,2011,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,0.14
80,81,2011-01-04,springer,2011,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,0.18181818181818182
81,82,2011-01-04,springer,2011,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,0.22784810126582278
82,83,2011-01-04,springer,2011,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,0.16666666666666666
83,84,2011-01-04,springer,2011,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,0.3541666666666667
84,85,2011-01-04,springer,2011,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,0.22058823529411764
85,86,2011-01-04,springer,2011,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,0.04950495049504951
86,87,2011-01-04,springer,2011,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,0.01675977653631285
87,88,2011-01-04,springer,2011,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,0.01818181818181818
88,89,2011-01-04,springer,2011,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,0.018867924528301886
89,90,2011-01-04,springer,2011,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,0.0
90,91,2011-01-04,springer,2011,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,0.029411764705882353
91,92,2011-01-04,springer,2011,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,0.2222222222222222
92,93,2011-01-05,springer,2011,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,0.0
93,94,2011-01-05,springer,2011,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,0.0
94,95,2011-01-05,springer,2011,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,0.0
95,96,2011-01-05,springer,2011,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,0.0
96,97,2011-01-05,springer,2011,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,0.0
97,98,2011-01-05,springer,2011,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,0.0
98,99,2011-01-05,springer,2011,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,0.011494252873563218
99,100,2011-01-05,springer,2011,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,0.015625
100,101,2011-01-05,springer,2011,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,0.05504587155963303
101,102,2011-01-05,springer,2011,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,0.07547169811320754
102,103,2011-01-05,springer,2011,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,0.35294117647058826
103,104,2011-01-05,springer,2011,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,0.06756756756756757
104,105,2011-01-05,springer,2011,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,0.09230769230769231
105,106,2011-01-05,springer,2011,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,0.19230769230769232
106,107,2011-01-05,springer,2011,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,0.12727272727272726
107,108,2011-01-05,springer,2011,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,0.047058823529411764
108,109,2011-01-05,springer,2011,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,0.021505376344086023
109,110,2011-01-05,springer,2011,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,0.018072289156626505
110,111,2011-01-05,springer,2011,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,0.03937007874015748
111,112,2011-01-05,springer,2011,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,0.08536585365853659
112,113,2011-01-05,springer,2011,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,0.075
113,114,2011-01-05,springer,2011,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,0.024390243902439025
114,115,2011-01-05,springer,2011,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,0.05555555555555555
115,116,2011-01-06,springer,2011,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,0.0
116,117,2011-01-06,springer,2011,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,0.0
117,118,2011-01-06,springer,2011,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,0.0
118,119,2011-01-06,springer,2011,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,0.0
119,120,2011-01-06,springer,2011,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,0.0
120,121,2011-01-06,springer,2011,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,0.0
121,122,2011-01-06,springer,2011,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,0.0
122,123,2011-01-06,springer,2011,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,0.013888888888888888
123,124,2011-01-06,springer,2011,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,0.05172413793103448
124,125,2011-01-06,springer,2011,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,0.07142857142857142
125,126,2011-01-06,springer,2011,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,0.03508771929824561
126,127,2011-01-06,springer,2011,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,0.07692307692307693
127,128,2011-01-06,springer,2011,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,0.21818181818181817
128,129,2011-01-06,springer,2011,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,0.1864406779661017
129,130,2011-01-06,springer,2011,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,0.14814814814814814
130,131,2011-01-06,springer,2011,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,0.16216216216216217
131,132,2011-01-06,springer,2011,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,0.05521472392638037
132,133,2011-01-06,springer,2011,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,0.03164556962025317
133,134,2011-01-06,springer,2011,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,0.027522935779816515
134,135,2011-01-06,springer,2011,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,0.045454545454545456
135,136,2011-01-06,springer,2011,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,0.0
136,137,2011-01-06,springer,2011,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,0.0196078431372549
137,138,2011-01-06,springer,2011,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,0.21052631578947367
138,139,2011-01-07,springer,2011,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,0.3076923076923077
139,140,2011-01-07,springer,2011,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,0.4
140,141,2011-01-07,springer,2011,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,0.0
141,142,2011-01-07,springer,2011,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,0.0
142,143,2011-01-07,springer,2011,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,0.0
143,144,2011-01-07,springer,2011,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,0.3076923076923077
144,145,2011-01-07,springer,2011,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,0.10526315789473684
145,146,2011-01-07,springer,2011,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,0.10526315789473684
146,147,2011-01-07,springer,2011,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,0.072
147,148,2011-01-07,springer,2011,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,0.3404255319148936
148,149,2011-01-07,springer,2011,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,0.3958333333333333
149,150,2011-01-07,springer,2011,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,0.18
150,151,2011-01-07,springer,2011,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,0.140625
151,152,2011-01-07,springer,2011,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,0.16279069767441862
152,153,2011-01-07,springer,2011,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,0.14285714285714285
153,154,2011-01-07,springer,2011,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,0.06097560975609756
154,155,2011-01-07,springer,2011,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,0.05056179775280899
155,156,2011-01-07,springer,2011,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,0.0603448275862069
156,157,2011-01-07,springer,2011,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,0.03260869565217391
157,158,2011-01-07,springer,2011,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,0.02
158,159,2011-01-07,springer,2011,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,0.0
159,160,2011-01-07,springer,2011,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,0.058823529411764705
160,161,2011-01-07,springer,2011,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,0.07142857142857142
161,162,2011-01-08,springer,2011,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,0.041666666666666664
162,163,2011-01-08,springer,2011,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,0.06666666666666667
163,164,2011-01-08,springer,2011,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,0.23076923076923078
164,165,2011-01-08,springer,2011,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,0.0
165,166,2011-01-08,springer,2011,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,0.0
166,167,2011-01-08,springer,2011,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,0.0
167,168,2011-01-08,springer,2011,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,0.0
168,169,2011-01-08,springer,2011,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,0.125
169,170,2011-01-08,springer,2011,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,0.0
170,171,2011-01-08,springer,2011,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,0.0
171,172,2011-01-08,springer,2011,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,0.08928571428571429
172,173,2011-01-08,springer,2011,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,0.03333333333333333
173,174,2011-01-08,springer,2011,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,0.08888888888888889
174,175,2011-01-08,springer,2011,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,0.07368421052631578
175,176,2011-01-08,springer,2011,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,0.14457831325301204
176,177,2011-01-08,springer,2011,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,0.07246376811594203
177,178,2011-01-08,springer,2011,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,0.11764705882352941
178,179,2011-01-08,springer,2011,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,0.078125
179,180,2011-01-08,springer,2011,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,0.057692307692307696
180,181,2011-01-08,springer,2011,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,0.15384615384615385
181,182,2011-01-08,springer,2011,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,0.0
182,183,2011-01-08,springer,2011,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,0.05714285714285714
183,184,2011-01-08,springer,2011,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,0.030303030303030304
184,185,2011-01-08,springer,2011,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,0.0
185,186,2011-01-09,springer,2011,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,0.041666666666666664
186,187,2011-01-09,springer,2011,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,0.0
187,188,2011-01-09,springer,2011,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,0.0
188,189,2011-01-09,springer,2011,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,0.0
189,190,2011-01-09,springer,2011,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,0.0
190,191,2011-01-09,springer,2011,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,0.0
191,192,2011-01-09,springer,2011,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,0.0
192,193,2011-01-09,springer,2011,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,0.2
193,194,2011-01-09,springer,2011,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,0.0
194,195,2011-01-09,springer,2011,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,0.0
195,196,2011-01-09,springer,2011,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,0.0
196,197,2011-01-09,springer,2011,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,0.0425531914893617
197,198,2011-01-09,springer,2011,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,0.05063291139240506
198,199,2011-01-09,springer,2011,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,0.08695652173913043
199,200,2011-01-09,springer,2011,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,0.125
200,201,2011-01-09,springer,2011,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,0.06493506493506493
201,202,2011-01-09,springer,2011,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,0.16455696202531644
202,203,2011-01-09,springer,2011,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,0.05084745762711865
203,204,2011-01-09,springer,2011,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,0.09090909090909091
204,205,2011-01-09,springer,2011,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,0.025
205,206,2011-01-09,springer,2011,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,0.0
206,207,2011-01-09,springer,2011,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,0.05263157894736842
207,208,2011-01-09,springer,2011,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,0.5
208,209,2011-01-09,springer,2011,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,0.0
209,210,2011-01-10,springer,2011,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,0.6666666666666666
210,211,2011-01-10,springer,2011,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,inf
211,212,2011-01-10,springer,2011,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,0.0
212,213,2011-01-10,springer,2011,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,0.0
213,214,2011-01-10,springer,2011,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,0.5
214,215,2011-01-10,springer,2011,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,0.0
215,216,2011-01-10,springer,2011,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,0.0
216,217,2011-01-10,springer,2011,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,0.02666666666666667
217,218,2011-01-10,springer,2011,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,0.021739130434782608
218,219,2011-01-10,springer,2011,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,0.021739130434782608
219,220,2011-01-10,springer,2011,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,0.0
220,221,2011-01-10,springer,2011,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,0.07142857142857142
221,222,2011-01-10,springer,2011,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,0.10638297872340426
222,223,2011-01-10,springer,2011,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,0.08
223,224,2011-01-10,springer,2011,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,0.0
224,225,2011-01-10,springer,2011,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,0.046511627906976744
225,226,2011-01-10,springer,2011,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,0.05714285714285714
226,227,2011-01-10,springer,2011,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,0.022988505747126436
227,228,2011-01-10,springer,2011,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,0.006493506493506494
228,229,2011-01-10,springer,2011,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,0.03260869565217391
229,230,2011-01-10,springer,2011,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,0.0136986301369863
230,231,2011-01-10,springer,2011,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,0.02702702702702703
231,232,2011-01-10,springer,2011,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,0.09090909090909091
